city,latitude,longitude
"Miami",25.7617,-80.1918
"Los Angeles",34.0522,-118.2437
"Ferriday",31.6291,-91.5559
"New Orleans",29.9511,-90.0715
"New York",40.7128,-74.0060
"Chicago",41.8781,-87.6298
"Houston",29.7604,-95.3698
"Phoenix",33.4484,-112.0740
"Denver",39.7392,-104.9903
"Seattle",47.6062,-122.3321
"Washington",38.9072,-77.0369
"Boston",42.3601,-71.0589
"Dallas",32.7767,-96.7970
"San Francisco",37.7749,-122.4194
"Nashville",36.1627,-86.7816
"Philadelphia",39.9526,-75.1652
"Charlotte",35.2271,-80.8431
"Minneapolis",44.9778,-93.2650
"Portland",45.5051,-122.6750
"Indianapolis",39.7684,-86.1581
"Las Vegas",36.1699,-115.1398
"Milwaukee",43.0389,-87.9065
"Memphis",35.1495,-90.0490
"Tampa",27.9506,-82.4572
